idx,company,website,tax1,tax2,tax3,city,notes,address,lat,lng
0,Danish Solar Energy Ltd.,http://www.danishsolarenergy.com/da/,Solar,Manufacturing,,Holeby,Coloured solar modules,"Flensbjerg 8, Holeby 4960",54.71829,11.44592
1,IWAL - International Wind Academy Lolland A/S,http://www.iwal.dk/,Academia/Research,Wind,,Dannemare,Wind energy training & certification,"Rudbjergvej 21, Dannemare 4983",54.75969,11.13683
2,Intertek-DIC A/S,https://www.intertek.com/,Evaluation/Compliance,Chemistry,Enabling Technologies/Components,Maribo,Wind energy training & certification,"Margrethesvej 31, Maribo 4930",54.77634,11.52025
3,RewAir Holding A/S,http://www.rewair.com/,Wind,Manufacturing,Professional Services,Nakskov,Wind Energy Product Supplier,"Skibsværftsvej 12, Nakskov 4900",54.82872,11.12496
4,Floating Power Plant A/S,http://www.floatingpowerplant.com,Wind,Wave/Water/Hydro,Architecture/Design,Bandholm,Wind energy;oil and gas;Other,"Birketvej 13, Bandholm 4941",54.83469,11.47997
5,Savosolar,https://savosolar.com/,Solar,Thermal Energy,Energy Efficiency,Padborg,,"Hærvejen 9, Bov, Padborg 6330",54.83854,9.366674
6,Ærø - Sustainable Energy Island,http://www.aeroe-emk.dk/eng/aeroe_energy_island.html,Solar,Wind,Biofuels,Ærøskøbing,Danish Municipality of Arø,"Statene 2, Ærøskøbing 5970",54.8895,10.40617
7,ProjectZero,http://brightgreenbusiness.com/,Policy,Consulting,,Sønderborg,A zero carbon future vision,"Alsion 2, Sønderborg 6400",54.91301,9.779282
8,OJ Electronics,https://oj.dk,Built Environment/Construction,Energy Efficiency,,Sønderborg,Energy efficient thermostats,"Stenager 13B, Sønderborg 6400",54.92417,9.811545
9,SERVODAN,http://www.servodan.com/,IoT/IIoT,Energy Efficiency,,Sønderborg,Intelligent lighting control solutions,"Stenager 5, Sønderborg 6400",54.92471,9.816533
10,Banke Accessory Drives,https://banke.pro,Storage,Mobility as a Service,Engineering,Nordborg,Advisors within energy and environment,"Ormstoft 5, Sønderborg 6400",54.937573,9.803768
