idx,company,address,city,tax1,tax2,tax3,website,lat,lng
1,Mighty Pipeline,"Anchorage, AK",Anchorage,Hydrogen,Generation/Transmission,Oil and Gas,https://www.launchalaska.com/2021-cohort,61.217576,-149.899678
2,H2GO Power,"London, UK",London,Hydrogen,Storage/Batteries,,https://www.h2gopower.com/,51.507218,-0.127586
3,Tagup,"Boston, Mass",Boston,IoT/IIoT,Built Environment/Construction,Evaluation/Compliance,http://tagup.io/,42.360082,-71.05888
4,Sila Nanotechnologies,"Alameda, CA",Alameda,Storage/Batteries,Materials,,https://www.silanano.com/,37.779872,-122.282186
5,Smart Wires,"Norham, NC",Norham,Utility/Grid,IoT/IIoT,Enabling Technologies/Components,https://www.smartwires.com/,35.759573,-79.0193
6,Sentient Energy,"Frisco, TX",Frisco,Utility/Grid,Solar,IoT/IIoT,https://www.sentientenergy.com/,33.150674,-96.823612
7,Prosumer Grid,"Brookhaven, GA",Brookhaven,Utility/Grid,Generation/Transmission,IoT/IIoT,https://prosumergrid.com/,33.865019,-84.337127
8,GridBlock,"Atlanta, GA",Atlanta,Utility/Grid,Enabling Technologies/Components,Generation/Transmission,https://www.gridblock.com/,33.748752,-84.387684
9,TurbineLogic,"Atlanta, GA",Atlanta,Generation/Transmission,Utility/Grid,IoT/IIoT,https://turbinelogic.com/,33.748752,-84.387684
10,DBE Hytec Ltd,"College Station, TX",College Station,Water/Wave/Hydro,Enabling Technologies/Components,Environmental Remediation,https://dbe-rsl.com/,30.627977,-96.334407
11,ZOLA Electric,"Amsterdam, North Holland",Amsterdam,IoT/IIoT,Energy Systems/Management,Storage/Batteries,https://zolaelectric.com/,52.367573,4.904139
12,Menlo Micro,"Albany, New York",Albany,Generation/Transmission,Enabling Technologies/Components,,https://menlomicro.com/,42.652579,-73.756232
13,SLS Energy,"Kigali City, Rwanda",Kigali City,Storage/Batteries,Circular Economy,,https://www.slsenergy.io/,-1.957876,30.112735
14,Virridy,"Boulder, Colorado",Boulder,Enabling Technologies/Components,IoT/IIoT,Water/Wave/Hydro,https://virridy.com/,40.014986,-105.270546
15,Reduzer,"Oslo, Norway",Oslo,IoT/IIoT,Built Environment/Construction,Carbon/CCUS,https://reduzer.com/home,59.913869,10.752245
16,Dynami Battery,"Binghamton, New York",Binghamton,Storage/Batteries,Enabling Technologies/Components,Chemistry,https://www.dynami-battery.com/,42.098687,-75.917974
17,Aerovy Mobility,"West Lafayette, IN",West Lafayette,Transportation/MaaS,Power Electronics,IoT/IIoT,https://aerovymobility.com/?_ga=2.158950202.1047863680.1686000898-292926562.1670957240,40.425869,-86.908065
18,Windlift,"Durham, NC",Durham,Wind,Generation/Transmission,,https://windlift.com/,35.994033,-78.898619
19,Terrafore Technologies,MN,MN,Storage/Batteries,Energy Efficiency,Energy Systems/Management,https://terraforetechnologies.com/,46.729553,-94.6859
20,Brekland,NY,NY,Ag/Food-tech,Materials,,https://www.linkedin.com/company/brekland/,40.712775,-74.005973
21,Atma Leather,CT,CT,Materials,Circular Economy,,https://environment.yale.edu/news/article/yse-students-line-alternative-leather-consumer-goods-wins-startup-yale-sustainability,41.603221,-73.087749
22,mAIRsure,PA,PA,IoT/IIoT,Environmental Remediation,,https://mairsure.com/technology/,41.203322,-77.194525
23,Onyx Power,TX,TX,Storage/Batteries,Power Electronics,Professional Services,https://www.onyxpower.io/,31.968599,-99.901813
24,Air Company,"New York City, NY",New York City,Carbon/CCUS,Circular Economy,Materials,http://www.aircompany.com/,40.712775,-74.005973
25,Summit Nanotech,"Calgary, Canada",Calgary,Geology/Mining,Materials,REEs,https://www.summitnanotech.ca/,51.044733,-114.071883
26,Tynt Technologies,"Boulder, CO",Boulder,Built Environment/Construction,Materials,Thermal/Geothermal,https://www.tynt.io/,40.014986,-105.270546
27,Syenta,"Canberra, Australia",Canberra,Manufacturing,Materials,Power Electronics,https://www.linkedin.com/company/syenta/,-35.28019,149.131004
28,Dollaride,"Brooklyn, NY",Brooklyn,IoT/IIoT,Transportation/MaaS,,http://dollaride.com/,40.678178,-73.944158
29,Olokun Minerals,"Los Angeles, CA",Los Angeles,Circular Economy,Materials,Geology/Mining,http://olokunminerals.com/,34.052234,-118.243685
30,Friendlier,"Ottowa, Ontario",Ottowa,IoT/IIoT,Circular Economy,Materials,https://www.friendlier.ca/,45.42153,-75.697193
31,Sironix Renewables,"Seattle, WA",Seattle,Biofuels/Bioeconomy,Circular Economy,Materials,http://www.sironixrenewables.com/,47.60621,-122.332071
